operation, x, y, z, xtype, ytype, ztype, xunit, yunit, zunit
CUDA Host Register, 1, 0.306000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 10.983215, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1065726, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 1985985, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.036000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 29.923584, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 1154943, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 5597840, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 28.925049, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 1142865, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 5469426, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.067000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 2.304260, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1300438, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 2155694, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.030000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 30.524475, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 1107313, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 5501277, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 0.988000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 28.849792, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 1083458, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 5233231, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.111000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 4.119263, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 1420791, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 2296228, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 1.079000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host to Device, 1, 33.575928, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host to Device, 1, 1433239, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Host to Device, 1, 6290901, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 1.151000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Device to Host, 1, 40.365723, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Device to Host, 1, 1965304, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
CUDA Device to Host, 1, 8890924, vcmsl, N, L2 Cache Misses, Memory Allocator, , , 
CUDA Host Register, 1, 0.040000, vcmsl, N, Time, Memory Allocator, , Seconds, 
CUDA Host Register, 1, 1.209412, vcmsl, N, Energy, Memory Allocator, , Joules, 
CUDA Host Register, 1, 939676, vcmsl, N, L3 Cache Misses, Memory Allocator, , , 
